timestamp,gaze_x,gaze_y,pupil_left,pupil_right,blink,focus_score
1764433279.9385724,0.054263634571770615,-0.09645730716594411,5.647,7.204,0,0.877
1764433279.9542909,0.058344392685087856,-0.09839132713737292,5.538,7.350,0,0.877
1764433279.9857054,0.0588410748795615,-0.11123756535979748,6.056,7.261,0,0.876
1764433280.051222,0.0704195216464624,-0.10209706498262747,5.651,7.238,0,0.877
1764433280.067868,0.06971491057376908,-0.09509431911421284,5.473,7.112,0,0.879
1764433280.0796976,0.07456966817086906,-0.0895467926107181,5.498,7.036,0,0.883
1764433280.092307,0.07769876771960833,-0.0879327548275026,5.516,7.038,0,0.883
1764433280.1788774,0.08592759894218731,-0.09020677453309789,5.326,7.015,0,0.882
1764433280.1955266,0.09264931925953104,-0.09414474217316851,5.193,6.999,0,0.878
1764433280.213108,0.09735452348167167,-0.09690131952121794,5.100,6.988,0,0.874
1764433280.2733066,0.09310054738955113,-0.10387854271247159,5.185,6.933,0,0.870
1764433280.2898562,0.09433704983935245,-0.09057212275587309,5.180,6.908,0,0.867
1764433280.3048851,0.09060736345897528,-0.09921000973863503,5.523,6.824,0,0.868
1764433280.369333,0.08691000290613113,-0.10031821893825657,5.586,6.930,0,0.874
1764433280.384418,0.08722040124377795,-0.10159627104334079,5.631,6.908,0,0.874
1764433280.4026039,0.09022094753731122,-0.09983762782557658,5.573,6.959,0,0.875
1764433280.4644501,0.07733450517335098,-0.10214918532770603,5.658,6.997,0,0.876
1764433280.4895124,0.06149581370039701,-0.13785818467010574,6.945,7.023,0,0.866
1764433280.5113459,0.0682941051634005,-0.12209361464456815,6.462,6.932,0,0.863
1764433280.5359995,0.07733485912162684,-0.11001263170047293,6.075,6.874,0,0.863
1764433280.5902107,0.0708916477619505,-0.1017823929149688,5.848,7.131,0,0.865
1764433280.613429,0.06894233525154704,-0.10420222049502366,5.689,7.005,0,0.870
1764433280.6271558,0.07778862018332942,-0.10396510507115429,5.664,6.954,0,0.881
1764433280.6860852,0.07265855586746109,-0.09501289239038771,5.513,6.791,0,0.890
1764433280.7048855,0.06906751084635325,-0.08983330003559017,5.406,6.677,0,0.895
1764433280.7348275,0.06764073585331683,-0.08810975930027545,5.467,6.884,0,0.898
1764433280.7833788,0.06582677596688705,-0.07906813585801883,5.364,6.885,0,0.902
1764433280.8108537,0.05803526491595143,-0.08578247770930895,6.354,6.887,0,0.904
1764433280.826706,0.06095983036870217,-0.08332671990376275,6.088,6.949,0,0.908
1764433280.861069,0.06441101169287419,-0.08658957349785137,5.951,7.170,0,0.907
1764433280.909794,0.0668268386197946,-0.08126487536153937,5.791,7.237,0,0.906
1764433280.9579241,0.06308313485994317,-0.07753758666612097,5.679,7.279,0,0.904
1764433281.0217526,0.06589732483674289,-0.07818935414454567,5.600,7.318,0,0.905
1764433281.0408916,0.06678030129876344,-0.07864559137944295,5.545,7.346,0,0.904
1764433281.055229,0.06739838482217783,-0.08548669657430583,5.507,7.103,0,0.903
1764433281.0717337,0.06674408676682883,-0.09027547021070985,5.480,6.933,0,0.903
1764433281.1183205,0.06845999117156285,-0.09471456827793173,5.724,7.076,0,0.903
1764433281.1506376,0.0685741677331374,-0.09782193692498706,5.896,7.176,0,0.903
1764433281.1809344,0.06974104784797885,-0.09999709497792578,6.016,7.246,0,0.903
1764433281.2109497,0.07055786392836787,-0.10151970561498289,6.099,7.295,0,0.904
1764433281.2300568,0.07221659170637924,-0.10258553306092286,6.158,7.330,0,0.905
1764433281.3017626,0.0708085311905129,-0.1038750905339504,5.918,7.091,0,0.907
1764433281.3332539,0.06651261214956455,-0.11129951989550446,5.851,6.912,0,0.909
1764433281.3534825,0.06350546882090072,-0.1164966204485923,5.804,6.787,0,0.909
1764433281.3755138,0.061400468490836024,-0.11687372127053641,5.829,6.700,0,0.909
1764433281.446514,0.06363250185662864,-0.11985508315024511,5.829,6.726,0,0.909
1764433281.4606464,0.0662818817344227,-0.11976812342256288,5.828,6.745,0,0.908
1764433281.4853292,0.06813644764887855,-0.11970725161318531,5.840,6.758,0,0.917
1764433281.5186467,0.06726073074551933,-0.1259599312016936,6.257,6.767,0,0.919
1764433281.5472934,0.0688216419566462,-0.12404151705857683,6.128,6.774,0,0.918
1764433281.5607138,0.060131671108782835,-0.11617688802796029,6.038,7.034,0,0.917
1764433281.599937,0.06165738716745233,-0.11393251727174611,6.000,7.039,0,0.917
1764433281.6626937,0.07649350435054984,-0.09016942875688905,5.589,7.039,1,0.904
1764433281.6849732,0.09593675739321098,-0.07398816534721375,5.243,6.456,1,0.900
1764433281.6989195,0.13798906350858087,-0.06429171574304962,4.821,6.456,1,0.868
1764433281.767472,0.13798906350858087,-0.06429171574304962,4.821,6.456,1,0.865
1764433281.7879398,0.13798906350858087,-0.06429171574304962,4.821,6.456,1,0.863
1764433281.808267,0.06022870809237037,-0.015458746474680322,6.058,6.456,1,0.856
1764433281.8538046,0.06045719711393449,-0.020422571807638547,5.763,6.684,1,0.850
1764433281.8820357,0.06061713942902938,-0.023897249540709303,5.557,6.843,1,0.846
1764433281.9036744,0.04895373673075534,-0.004771552939366014,6.152,7.995,1,0.834
1764433281.9348426,0.036886192786627615,0.009308134286317306,5.984,8.801,0,0.818
1764433281.9824755,0.02690729147237858,0.020646128783030935,5.624,9.366,1,0.802
1764433282.0136812,0.039487277943708605,-0.008373796808400086,5.373,8.756,0,0.794
1764433282.0368917,0.04982488902699925,-0.029330037212520373,5.218,8.328,0,0.791
1764433282.0784056,0.05552959623194307,-0.043357113005286,5.110,8.029,0,0.790
1764433282.0966406,0.05952289127540375,-0.05317606606022193,5.035,7.820,0,0.789
1764433282.128046,0.062318197805826224,-0.058962376676937836,5.001,7.673,0,0.789
1764433282.1747103,0.07079665150755673,-0.06192583758690008,4.978,7.267,0,0.789
1764433282.2328417,0.07673156909876809,-0.0661741732673518,4.962,6.982,0,0.788
1764433282.2888484,0.07436427228218126,-0.07240887780888539,4.996,6.855,1,0.788
1764433282.3049595,0.07270716451057048,-0.07786012750969797,5.020,6.765,0,0.787
1764433282.3202703,0.061715173260166255,-0.08152778095639332,5.247,6.703,1,0.787
1764433282.3424091,0.0540207793848833,-0.08409513836908006,5.406,6.659,1,0.787
1764433282.3999972,0.05486000011487285,-0.08727568776744707,5.611,6.528,0,0.788
1764433282.4174657,0.05544745462586555,-0.08950207234630397,5.754,6.436,0,0.789
